boot,ts,seconds,lux,kelvin,voltage,temp,humidity
1375,1622502171,6347,8618.52,5496,896,,
1376,1622502171,6367,11357.37,5040,897,23.90,71
1377,1622502171,6390,11165.94,5065,897,,
1378,1622502171,6410,9341.59,5368,897,,
1379,1622502171,6430,10514.68,5171,897,,
1380,1622502171,6451,10889.78,5144,898,,
1381,1622502171,6471,11714.90,5044,898,,
1382,1622502171,6491,11742.02,5070,898,,
1383,1622502171,6512,8976.05,5485,898,,
1384,1622502171,6532,11973.49,4998,900,,
1385,1622502171,6552,8556.26,5538,898,,
1386,1622502171,6572,8529.13,5499,898,,
1387,1622502171,6593,9207.52,5371,898,,
1388,1622502171,6613,11237.76,5092,900,,
1389,1622502171,6633,9488.32,5334,898,,
1390,1622502171,6654,8872.20,5416,898,,
1391,1622502171,6674,8738.12,5419,898,,
1392,1622502171,6694,8653.65,5418,898,24.30,71
1393,1622502171,6717,8502.01,5461,900,,
1394,1622502171,6737,8648.74,5421,898,,
1395,1622502171,6757,10010.42,5201,900,,
1396,1622502171,6777,9448.54,5332,900,,
1397,1622502171,6798,9885.90,5263,900,,
1398,1622502171,6818,9006.27,5413,900,,
1399,1622502171,6838,8872.20,5416,900,,
1400,1622502171,6859,8961.58,5414,900,,
1401,1622502171,6879,9095.66,5411,900,,
1402,1622502171,6899,9100.57,5408,900,,
1403,1622502171,6919,9430.97,5367,902,,
1404,1622502171,6940,9940.15,5326,902,,
1405,1622502171,6960,10703.01,5230,902,,
1406,1622502171,6980,9962.37,5361,902,,
1407,1622502171,7001,10051.75,5359,902,,
1408,1622502171,7021,10337.47,5323,902,24.60,70
1409,1622502171,7043,9766.03,5398,902,,
1410,1622502171,7064,9485.22,5435,902,,
1411,1622502171,7084,9515.45,5368,902,,
1412,1622502171,7104,9592.18,5398,902,,
1413,1622502171,7124,10074.22,5325,903,,
1414,1622502171,7145,11871.45,5023,904,,
1415,1622502171,7165,10350.38,5230,903,,
1416,1622502171,7185,12147.61,4955,905,,
1417,1622502171,7206,10666.32,5143,905,,
1418,1622502171,7226,8484.44,5501,903,,
1419,1622502171,7246,8288.11,5549,903,,
1420,1622502171,7266,8154.03,5554,903,,
1421,1622502171,7287,8047.08,5602,903,,
1422,1622502171,7307,7885.88,5565,903,,
1423,1622502171,7327,7605.07,5617,903,,
1424,1622502171,7348,7694.46,5612,903,24.70,69
1425,1622502171,7370,7605.07,5617,903,,
1426,1622502171,7390,7694.46,5612,903,,
1427,1622502171,7411,7828.53,5606,903,,
1428,1622502171,7431,8186.07,5589,903,,
1429,1622502171,7451,8588.29,5572,904,,
1430,1622502171,7471,8918.70,5521,904,,
1431,1622502171,7492,9614.65,5362,905,,
1432,1622502171,7512,9552.39,5397,905,,
1433,1622502171,7532,9159.72,5476,905,,
1434,1622502171,7553,8976.05,5485,905,,
1435,1622502171,7573,8802.19,5487,905,,
1436,1622502171,7593,9413.41,5402,905,,
1437,1622502171,7614,9418.32,5399,906,,
1438,1622502171,7634,8511.57,5540,906,,
1439,1622502171,7654,8332.80,5547,906,,
1440,1622502171,7674,8320.14,5583,906,24.60,68
1441,1622502171,7697,8454.22,5578,905,,
1442,1622502171,7717,8931.36,5487,906,,
1443,1622502171,7737,8829.32,5524,906,,
1444,1622502171,7758,9654.43,5363,907,,
1445,1622502171,7778,9052.77,5517,907,,
1446,1622502171,7798,8561.17,5533,906,,
1447,1622502171,7818,8302.57,5626,906,,
1448,1622502171,7839,8257.88,5628,906,,
1449,1622502171,7859,8257.88,5628,907,,
1450,1622502171,7879,10021.78,5354,907,,
1451,1622502171,7900,10878.93,5257,908,,
1452,1622502171,7920,13542.87,4982,909,,
1453,1622502171,7940,11209.34,5228,909,,
1454,1622502171,7961,13467.95,5024,912,,
1455,1622502171,7981,13467.95,5024,913,,
1456,1622502171,8001,13512.64,5025,913,24.80,68
1457,1622502171,8023,13569.99,5003,914,,
1458,1622502171,8044,13587.56,4982,914,,
1459,1622502171,8064,13435.92,5001,914,,
1460,1622502171,8084,13145.29,5017,915,,
1461,1622502171,8105,8665.02,5603,913,,
1462,1622502171,8125,8933.17,5592,913,,
1463,1622502171,8145,12891.61,5061,915,,
1464,1622502171,8166,11231.56,5256,915,,
1465,1622502171,8186,13199.54,5062,916,,
1466,1622502171,8206,12990.55,5107,916,,
1467,1622502171,8226,14083.82,5028,917,,
1468,1622502171,8247,13887.48,5047,918,,
1469,1622502171,8267,14351.96,5031,919,,
1470,1622502171,8287,14133.41,5030,919,,
1471,1622502171,8308,14173.20,5029,920,,
1472,1622502171,8328,14044.03,5029,921,25.90,68
1473,1622502171,8350,12312.17,5176,921,,
1474,1622502171,8371,14208.33,4989,922,,
1475,1622502171,8391,13957.75,4965,922,,
1476,1622502171,8411,9924.39,5453,921,,
1477,1622502171,8431,10799.11,5315,921,,
1478,1622502171,8452,10294.58,5416,921,,
1479,1622502171,8472,10612.33,5407,921,,
1480,1622502171,8492,14543.65,4975,922,,
1481,1622502171,8513,14722.42,4978,924,,
1482,1622502171,8533,14874.06,4961,924,,
1483,1622502171,8553,14945.88,4981,924,,
1484,1622502171,8573,15276.28,4966,922,,
1485,1622502171,8594,15375.22,5005,919,,
1486,1622502171,8614,15424.82,5007,919,,
1487,1622502171,8634,15723.20,4972,919,,
1488,1622502171,8655,15889.31,4994,919,27.10,66
1489,1622502171,8677,16080.73,4976,919,,
1490,1622502171,8697,15675.41,5028,918,,
1491,1622502171,8718,16746.46,4952,918,,
1492,1622502171,8738,16925.22,4954,918,,
1493,1622502171,8758,16952.35,4971,918,,
1494,1622502171,8778,17384.80,4942,918,,
1495,1622502171,8799,16768.67,4967,918,,
1496,1622502171,8819,17665.61,4928,918,,
1497,1622502171,8839,15581.12,5026,918,,
1498,1622502171,8860,17067.05,4936,918,,
1499,1622502171,8880,16932.97,4934,918,,
1500,1622502171,8900,17588.88,4909,918,,
1501,1622502171,8921,17382.99,4889,918,,
1502,1622502171,8941,16525.84,4926,918,,
1503,1622502171,8961,12865.77,5201,918,,
1504,1622502171,8981,12361.51,5226,918,28.60,64
1505,1622502171,9004,16707.71,4876,917,,
1506,1622502171,9024,12936.04,5105,917,,
1507,1622502171,9044,10578.49,5290,918,,
1508,1622502171,9065,9783.60,5363,917,,
1509,1622502171,9085,9083.00,5445,917,,
1510,1622502171,9105,8904.23,5450,917,,
1511,1622502171,9125,8757.50,5488,917,,
1512,1622502171,9146,8770.16,5453,916,,
1513,1622502171,9166,8757.50,5488,916,,
1514,1622502171,9186,8846.88,5485,916,,
1515,1622502171,9207,8918.70,5521,916,,
1516,1622502171,9227,9057.68,5512,916,,
1517,1622502171,9247,9651.33,5463,916,,
1518,1622502171,9268,13691.15,5067,916,,
1519,1622502171,9288,10321.71,5447,916,,
1520,1622502171,9308,10237.23,5446,916,28.40,61
1521,1622502171,9330,10701.71,5406,916,,
1522,1622502171,9351,11916.40,5305,916,,
1523,1622502171,9371,11956.18,5306,916,,
1524,1622502171,9391,11764.76,5333,916,,
1525,1622502171,9412,11103.94,5399,916,,
1526,1622502171,9432,10473.35,5412,916,,
1527,1622502171,9452,10192.54,5447,916,,
1528,1622502171,9473,10312.15,5383,916,,
1529,1622502171,9493,10004.22,5386,916,,
1530,1622502171,9513,9266.67,5438,916,,
1531,1622502171,9533,9119.94,5474,916,,
1532,1622502171,9554,9209.33,5471,916,,
1533,1622502171,9574,9343.40,5468,915,,
1534,1622502171,9594,9477.48,5464,915,,
1535,1622502171,9615,9611.55,5461,915,,
1536,1622502171,9635,9598.89,5492,915,27.90,59
1537,1622502171,9657,9626.02,5526,915,,
1538,1622502171,9678,9670.71,5525,915,,
1539,1622502171,9698,9742.52,5557,915,,
1540,1622502171,9718,9769.65,5591,915,,
1541,1622502171,9738,9859.03,5588,915,,
1542,1622502171,9759,9921.29,5551,915,,
1543,1622502171,9779,10068.02,5517,915,,
1544,1622502171,9799,9983.55,5515,915,,
1545,1622502171,9820,10072.93,5513,915,,
1546,1622502171,9840,10040.90,5484,915,,
1547,1622502171,9860,9956.42,5483,832,27.50,59
1548,1622502171,9901,16508.27,4943,838,27.60,59
1549,1622502171,9947,10326.62,5444,835,27.90,60
1550,1622502171,9998,9487.03,5535,834,28.20,60
1551,1622502171,10038,9571.51,5536,834,28.40,59
1552,1622502171,10114,9755.18,5526,832,28.70,59
1553,1622502171,10158,10112.71,5515,832,28.70,59
1554,1622502171,10198,10661.67,5472,832,28.80,59
1555,1622502171,10229,10800.66,5465,832,28.80,59
1556,1622502171,10270,10964.96,5403,831,28.80,59
1557,1622502171,10322,11099.03,5401,831,29.00,59
1558,1622502171,10370,11099.03,5401,831,29.10,59
1559,1622502171,10412,11857.24,5253,831,29.20,59
1560,1622502171,10460,11241.12,5312,831,29.30,58
1561,1622502171,10491,10789.29,5317,831,29.30,58
1562,1622502171,10528,10754.16,5378,831,29.40,58
1563,1622502171,10559,10803.76,5376,831,29.40,58
1564,1622502171,10592,11442.10,5340,831,29.40,58
1565,1622502171,10635,12040.66,5306,831,29.50,58
1566,1622502171,10676,12639.22,5276,831,29.50,58
1567,1622502171,10707,12028.00,5332,831,29.60,58
1568,1622502171,10744,14192.32,5113,832,29.60,57
1569,1622502171,10778,12236.99,5278,831,29.60,57
1570,1622502171,10848,12130.04,5305,831,29.90,57
1571,1622502171,10884,12380.62,5330,831,29.90,57
1572,1622502171,10926,12738.16,5326,831,30.00,57
1573,1622513134,20,13135.73,5272,912,,
1574,1622513134,40,14350.42,5201,913,,
1575,1622513134,60,14122.05,5201,914,,
1576,1622513134,81,0.00,0,918,,
1577,1622513134,101,0.00,0,920,,
1578,1622513134,121,0.00,0,921,,
1579,1622513134,142,14139.62,5178,919,,
1580,1622513134,162,13719.82,5201,918,,
1581,1622513134,182,13496.37,5201,919,,
1582,1622513134,203,13312.69,5201,919,,
1583,1622513134,223,13295.12,5224,919,,
1584,1622513134,243,13339.82,5224,919,30.10,55
1585,1622513134,265,13473.89,5224,920,,
1586,1622513134,286,13652.66,5224,921,,
1587,1622513134,306,13786.73,5224,921,,
1588,1622513134,326,13729.38,5247,922,,
1589,1622513134,347,13786.73,5224,922,,
1590,1622513134,367,13684.69,5247,922,,
1591,1622513134,387,13612.88,5224,924,,
1592,1622513134,408,13473.89,5224,924,,
1593,1622513134,428,12880.24,5250,924,,
1594,1622513134,448,12567.40,5251,924,,
1595,1622513134,468,12406.20,5226,921,,
1596,1622513134,489,12803.52,5225,920,,
1597,1622513134,509,15981.53,4972,920,,
1598,1622513134,529,11879.46,5280,920,,
1599,1622513134,550,11759.85,5335,919,,
1600,1622513134,570,11861.89,5307,919,29.70,54
1601,1622513134,592,11889.02,5335,919,,
1602,1622513134,613,11670.47,5336,919,,
1603,1622513134,633,11563.52,5365,919,,
1604,1622513134,653,11474.13,5366,919,,
1605,1622513134,673,11429.44,5367,919,,
1606,1622513134,694,11474.13,5366,919,,
1607,1622513134,714,11389.66,5366,919,,
1608,1622513134,734,11491.70,5338,919,,
1609,1622513134,755,11474.13,5366,919,,
1610,1622513134,775,11402.32,5339,919,,
1611,1622513134,795,11317.84,5338,918,,
1612,1622513134,815,11407.22,5337,919,,
1613,1622513134,836,11648.25,5307,918,,
1614,1622513134,856,12197.21,5277,918,,
1615,1622513134,876,11419.88,5310,918,,
1616,1622513134,897,10955.40,5344,918,29.30,54
1617,1622513134,919,10383.97,5414,918,,
1618,1622513134,939,10147.85,5448,918,,
1619,1622513134,960,10058.46,5450,918,,
1620,1622513134,980,10068.02,5517,918,,
1621,1622513134,1000,10028.24,5514,918,,
1622,1622513134,1020,10202.10,5513,918,,
1623,1622513134,1041,10162.32,5510,918,,
1624,1622513134,1061,10246.79,5512,918,,
1625,1622513134,1081,10117.63,5512,918,,
1626,1622513134,1102,10055.37,5547,918,,
1627,1622513134,1122,9774.56,5586,918,,
1628,1622513134,1142,9685.17,5590,918,,
1629,1622513134,1163,9640.48,5591,918,,
1630,1622513134,1183,9819.25,5585,917,,
1631,1622513134,1203,10855.17,5458,917,,
1632,1622513134,1223,15847.72,4938,917,28.70,53
1633,1622513134,1246,16633.05,4882,917,,
1634,1622513134,1266,16227.72,4928,917,,
1635,1622513134,1286,12186.36,5379,918,,
1636,1622513134,1307,16907.91,4941,916,,
1637,1622513134,1327,12963.68,5344,916,,
1638,1622513134,1347,17506.73,4905,917,,
1639,1622513134,1368,11740.99,5526,916,,
1640,1622513134,1388,11517.53,5532,917,,
1641,1622513134,1408,12227.95,5456,917,,
1642,1622513134,1428,14695.81,5140,916,,
1643,1622513134,1449,12424.28,5426,916,,
1644,1622513134,1469,11160.00,5542,916,,
1645,1622513134,1489,10963.67,5579,916,,
1646,1622513134,1510,10874.28,5582,916,,
1647,1622513134,1530,11204.69,5540,916,,
1648,1622513134,1550,12968.59,5343,916,28.90,53
1649,1622513134,1573,10713.08,5555,916,,
1650,1622513134,1593,14119.46,5179,916,,
1651,1622513134,1613,11329.21,5478,916,,
1652,1622513134,1633,10472.06,5595,916,,
1653,1622513134,1654,11043.49,5514,916,,
1654,1622513134,1674,15918.24,5069,916,,
1655,1622513134,1694,18042.77,4939,916,,
1656,1622513134,1715,18395.40,4942,916,,
1657,1622513134,1735,18618.86,4945,916,,
1658,1622513134,1755,0.00,0,916,,
1659,1622513134,1776,13875.08,5313,916,,
1660,1622513134,1796,14384.26,5287,916,,
1661,1622513134,1816,15080.21,5201,916,,
1662,1622513134,1836,15137.56,5180,916,,
1663,1622513134,1857,12258.17,5404,916,,
1664,1622513134,1877,11070.62,5544,916,29.40,53
1665,1622513134,1899,10874.28,5582,916,,
1666,1622513134,1920,12061.84,5435,916,,
1667,1622513134,1940,15056.18,5120,916,,
1668,1622513134,1960,15128.00,5140,916,,
1669,1622513134,1981,12660.40,5398,916,,
1670,1622513134,2001,14404.92,5201,916,,
1671,1622513134,2021,17550.91,4962,916,,
1672,1622513134,2041,17595.60,4962,916,,
1673,1622513134,2062,16966.82,5006,916,,
1674,1622513134,2082,12973.24,5394,915,,
1675,1622513134,2102,12433.84,5479,916,,
1676,1622513134,2123,12960.58,5418,916,,
1677,1622513134,2143,16235.73,5107,915,,
1678,1622513134,2163,15517.57,5161,915,,
1679,1622513134,2183,11889.53,5576,915,,
1680,1622513134,2204,15870.19,5162,915,29.90,52
1681,1622513134,2226,0.00,0,915,,
1682,1622513134,2246,0.00,0,915,,
1683,1622513134,2267,0.00,0,915,,
1684,1622513134,2287,0.00,0,915,,
1685,1622513134,2307,0.00,0,915,,
1686,1622513134,2328,0.00,0,915,,
1687,1622513134,2348,0.00,0,915,,
1688,1622513134,2368,0.00,0,915,,
1689,1622513134,2388,18307.56,5019,915,,
1690,1622513134,2409,18396.95,5020,915,,
1691,1622513134,2429,13220.72,5489,915,,
1692,1622513134,2449,13974.02,5358,915,,
1693,1622513134,2470,13496.88,5410,915,,
1694,1622513134,2490,18265.97,4970,915,,
1695,1622513134,2510,18029.86,4985,915,,
1696,1622513134,2531,17783.92,4997,915,31.40,51
1697,1622513134,2553,17155.14,5042,915,,
1698,1622513134,2573,12898.32,5444,915,,
1699,1622513134,2593,17945.12,5015,915,,
1700,1622513134,2614,17614.72,5028,915,,
1701,1622513134,2634,17194.92,5041,915,,
1702,1622513134,2654,16610.83,5091,915,,
1703,1622513134,2675,17405.72,5061,915,,
1704,1622513134,2695,17361.03,5061,915,,
1705,1622513134,2715,17495.11,5062,915,,
1706,1622513134,2736,17584.49,5062,915,,
1707,1622513134,2756,17763.26,5064,915,,
1708,1622513134,2776,17731.23,5046,915,,
1709,1622513134,2796,17602.06,5046,915,,
1710,1622513134,2817,17435.95,5027,915,,
1711,1622513134,2837,17155.14,5042,915,,
1712,1622513134,2857,17078.42,5023,915,32.40,50
1713,1622513134,2880,16886.99,5040,915,,
1714,1622513134,2900,16989.03,5022,915,,
1715,1622513134,2920,16976.37,5041,915,,
1716,1622513134,2941,17212.49,5025,915,,
1717,1622513134,2961,17212.49,5025,915,,
1718,1622513134,2981,17346.56,5026,915,,
1719,1622513134,3001,17301.87,5025,915,,
1720,1622513134,3022,17403.91,5008,915,,
1721,1622513134,3042,17225.15,5006,915,,
1722,1622513134,3062,17480.64,5027,915,,
1723,1622513134,3083,17537.99,5010,915,,
1724,1622513134,3103,17403.91,5008,915,,
1725,1622513134,3123,17371.88,4990,915,,
1726,1622513134,3144,17028.81,5022,915,,
1727,1622513134,3164,13758.57,5290,915,,
1728,1622513134,3184,17247.37,5022,915,33.40,49
1729,1622513134,3206,16529.20,5070,915,,
1730,1622513134,3227,16573.89,5071,914,,
1731,1622513134,3247,17127.76,5057,915,,
1732,1622513134,3267,17391.00,5058,914,,
1733,1622513134,3288,17525.07,5059,914,,
1734,1622513134,3308,17587.33,5042,914,,
1735,1622513134,3328,17217.14,5058,914,,
1736,1622513134,3349,17217.14,5058,914,,
1737,1622513134,3369,17306.52,5058,914,,
1738,1622513134,3389,17261.83,5058,914,,
1739,1622513134,3409,17217.14,5058,914,,
1740,1622513134,3430,17261.83,5058,914,,
1741,1622513134,3450,17485.29,5060,914,,
1742,1622513134,3470,17619.36,5061,914,,
1743,1622513134,3491,17579.58,5061,914,,
1744,1622513134,3511,17579.58,5061,914,34.00,48
1745,1622513134,3533,17329.00,5042,914,,
1746,1622513134,3554,17584.49,5062,914,,
1747,1622513134,3574,17736.13,5047,914,,
1748,1622513134,3594,17870.21,5048,914,,
1749,1622513134,3614,18093.67,5049,914,,
1750,1622513134,3635,17887.77,5032,914,,
1751,1622513134,3655,18441.64,5020,914,,
1752,1622513134,3675,11404.38,5741,914,,
1753,1622513134,3696,18366.72,5052,914,,
1754,1622513134,3716,0.00,0,914,,
1755,1622513134,3736,0.00,0,914,,
1756,1622513134,3757,0.00,0,914,,
1757,1622513134,3777,0.00,0,914,,
1758,1622513134,3797,0.00,0,914,,
1759,1622513134,3817,0.00,0,914,,
1760,1622513134,3838,0.00,0,914,34.80,47
1761,1622513134,3860,0.00,0,914,,
1762,1622513134,3880,0.00,0,914,,
1763,1622513134,3901,0.00,0,914,,
1764,1622513134,3921,0.00,0,914,,
1765,1622513134,3941,0.00,0,914,,
1766,1622513134,3962,0.00,0,914,,
1767,1622513134,3982,0.00,0,914,,
1768,1622513134,4002,0.00,0,914,,
1769,1622513134,4022,0.00,0,914,,
1770,1622513134,4043,0.00,0,914,,
1771,1622513134,4063,0.00,0,914,,
1772,1622513134,4083,0.00,0,914,,
1773,1622513134,4104,0.00,0,914,,
1774,1622513134,4124,0.00,0,914,,
1775,1622513134,4144,0.00,0,914,,
1776,1622513134,4165,0.00,0,914,35.50,46
1777,1622513134,4187,0.00,0,914,,
1778,1622513134,4207,0.00,0,914,,
1779,1622513134,4227,0.00,0,914,,
1780,1622513134,4248,18583.72,4975,914,,
1781,1622513134,4268,0.00,0,914,,
1782,1622513134,4288,0.00,0,914,,
1783,1622513134,4309,0.00,0,914,,
1784,1622513134,4329,18494.34,4974,913,,
1785,1622513134,4349,18539.03,4974,914,,
1786,1622513134,4370,18494.34,4974,914,,
1787,1622513134,4390,18551.69,4958,913,,
1788,1622513134,4410,0.00,0,913,,
1789,1622513134,4430,12599.95,5499,914,,
1790,1622513134,4451,13889.55,5357,913,,
1791,1622513134,4471,0.00,0,913,,
1792,1622513134,4491,0.00,0,913,35.80,44
1793,1622513134,4514,0.00,0,914,,
1794,1622513134,4534,0.00,0,913,,
1795,1622513134,4554,12416.27,5506,913,,
1796,1622513134,4575,11112.21,5632,913,,
1797,1622513134,4595,10965.47,5664,913,,
1798,1622513134,4615,11081.98,5691,913,,
1799,1622513134,4635,11260.75,5684,913,,
1800,1622513134,4656,11457.08,5645,913,,
1801,1622513134,4676,11725.23,5636,913,,
1802,1622513134,4696,16786.50,5146,913,,
1803,1622513134,4717,0.00,0,913,,
1804,1622513134,4737,18507.00,4957,913,,
1805,1622513134,4757,18293.10,4986,913,,
1806,1622513134,4778,15536.68,5240,913,,
1807,1622513134,4798,17790.38,5080,913,,
1808,1622513134,4818,0.00,0,913,34.80,44
1809,1622513134,4840,0.00,0,913,,
1810,1622513134,4861,0.00,0,913,,
1811,1622513134,4881,0.00,0,913,,
1812,1622513134,4901,0.00,0,913,,
1813,1622513134,4922,0.00,0,913,,
1814,1622513134,4942,0.00,0,913,,
1815,1622513134,4962,0.00,0,913,,
1816,1622513134,4983,0.00,0,913,,
1817,1622513134,5003,0.00,0,913,,
1818,1622513134,5023,0.00,0,913,,
1819,1622513134,5043,0.00,0,913,,
1820,1622513134,5064,0.00,0,913,,
1821,1622513134,5084,0.00,0,913,,
1822,1622513134,5104,0.00,0,913,,
1823,1622513134,5125,0.00,0,913,,
1824,1622513134,5145,0.00,0,913,35.70,44
1825,1622513134,5167,0.00,0,913,,
1826,1622513134,5188,0.00,0,913,,
1827,1622513134,5208,0.00,0,913,,
1828,1622513134,5228,0.00,0,913,,
1829,1622513134,5248,0.00,0,913,,
1830,1622513134,5269,0.00,0,913,,
1831,1622513134,5289,0.00,0,912,,
1832,1622513134,5309,0.00,0,912,,
1833,1622513134,5330,0.00,0,913,,
1834,1622513134,5350,0.00,0,913,,
1835,1622513134,5370,0.00,0,913,,
1836,1622513134,5391,0.00,0,912,,
1837,1622513134,5411,14719.32,5308,912,,
1838,1622513134,5431,12938.11,5446,912,,
1839,1622513134,5451,13027.49,5444,912,,
1840,1622513134,5472,13397.68,5415,912,36.60,43
1841,1622513134,5494,13594.02,5387,912,,
1842,1622513134,5514,13745.66,5362,912,,
1843,1622513134,5535,13835.04,5361,912,,
1844,1622513134,5555,14031.37,5335,912,,
1845,1622513134,5575,15022.60,5263,912,,
1846,1622513134,5596,0.00,0,917,,
1847,1622513134,5616,14990.57,5242,916,,
1848,1622513134,5636,15785.46,5201,918,,
1849,1622513134,5656,0.00,0,921,,
1850,1622513134,5677,15410.36,5221,919,,
1851,1622513134,5697,16307.29,5162,921,,
1852,1622513134,5717,18185.89,5031,924,,
1853,1622513134,5738,15798.12,5181,924,,
1854,1622513134,5758,15472.62,5201,924,,
1855,1622513134,5778,0.00,0,927,,
1856,1622513134,5799,17664.06,5061,926,36.10,43
1857,1622513134,5821,0.00,0,927,,
1858,1622513134,5841,15731.21,5161,926,,
1859,1622513134,5861,15743.87,5141,927,,
1860,1622513134,5882,14904.28,5180,926,,
1861,1622513134,5902,14529.18,5201,926,,
1862,1622513134,5922,14466.92,5222,924,,
1863,1622513134,5943,14498.96,5244,924,,
1864,1622513134,5963,15981.79,5181,924,,
1865,1622513134,5983,15424.82,5261,922,,
1866,1622513134,6004,17059.30,5182,922,,
1867,1622513134,6024,0.00,0,922,,
1868,1622513134,6044,15349.91,5303,922,,
1869,1622513134,6065,15657.84,5302,922,,
1870,1622513134,6085,18340.89,5149,922,,
1871,1622513134,6105,0.00,0,922,,
1872,1622513134,6125,0.00,0,922,35.70,43
1873,1622513134,6148,17416.83,5183,922,,
1874,1622513134,6168,15871.74,5260,922,,
1875,1622513134,6188,15317.87,5283,922,,
1876,1622513134,6209,15054.63,5283,922,,
1877,1622513134,6229,15290.75,5262,921,,
1878,1622513134,6249,18008.93,5081,922,,
1879,1622513134,6270,14977.91,5263,921,,
1880,1622513134,6290,14468.73,5287,922,,
1881,1622513134,6310,13977.12,5290,921,,
1882,1622513134,6330,13602.02,5316,921,,
1883,1622513134,6351,13534.86,5341,921,,
1884,1622513134,6371,13388.12,5366,921,,
1885,1622513134,6391,13606.67,5365,921,,
1886,1622513134,6412,13817.47,5385,921,,
1887,1622513134,6432,14403.38,5376,921,,
1888,1622513134,6452,0.00,0,921,35.00,42
1889,1622513134,6475,0.00,0,921,,
1890,1622513134,6495,0.00,0,921,,
1891,1622513134,6515,0.00,0,921,,
1892,1622513134,6535,0.00,0,921,,
1893,1622513134,6556,0.00,0,921,,
1894,1622513134,6576,0.00,0,921,,
1895,1622513134,6596,0.00,0,921,,
1896,1622513134,6617,0.00,0,921,,
1897,1622513134,6637,0.00,0,921,,
1898,1622513134,6657,18077.65,5149,921,,
1899,1622513134,6678,0.00,0,921,,
1900,1622513134,6698,16119.22,5338,921,,
1901,1622513134,6718,0.00,0,921,,
1902,1622513134,6738,0.00,0,921,,
1903,1622513134,6759,0.00,0,921,,
1904,1622513134,6779,0.00,0,921,35.80,42
1905,1622513134,6801,0.00,0,921,,
1906,1622513134,6822,0.00,0,921,,
1907,1622513134,6842,0.00,0,921,,
1908,1622513134,6862,0.00,0,921,,
1909,1622513134,6883,0.00,0,921,,
1910,1622513134,6903,17547.81,5236,921,,
1911,1622513134,6923,0.00,0,921,,
1912,1622513134,6943,16278.87,5258,921,,
1913,1622513134,6964,0.00,0,920,,
1914,1622513134,6984,0.00,0,920,,
1915,1622513134,7004,14497.67,5374,920,,
1916,1622513134,7025,14224.61,5378,920,,
1917,1622513134,7045,14251.73,5401,920,,
1918,1622513134,7065,14417.84,5420,919,,
1919,1622513134,7086,0.00,0,919,,
1920,1622513134,7106,0.00,0,920,36.40,40
1921,1622513134,7128,0.00,0,920,,
1922,1622513134,7149,0.00,0,919,,
1923,1622513134,7169,0.00,0,919,,
1924,1622513134,7189,17543.16,5201,919,,
1925,1622513134,7209,0.00,0,919,,
1926,1622513134,7230,0.00,0,919,,
1927,1622513134,7250,0.00,0,919,,
1928,1622513134,7270,16269.31,5220,919,,
1929,1622513134,7291,0.00,0,919,,
1930,1622513134,7311,0.00,0,919,,
1931,1622513134,7331,0.00,0,919,,
1932,1622513134,7352,0.00,0,919,,
1933,1622513134,7372,0.00,0,919,,
1934,1622513134,7392,0.00,0,919,,
1935,1622513134,7412,0.00,0,919,,
1936,1622513134,7433,0.00,0,919,37.20,40
1937,1622513134,7455,0.00,0,919,,
1938,1622513134,7475,0.00,0,919,,
1939,1622513134,7496,0.00,0,919,,
1940,1622513134,7516,0.00,0,919,,
1941,1622513134,7536,0.00,0,919,,
1942,1622513134,7557,0.00,0,919,,
1943,1622513134,7577,0.00,0,919,,
1944,1622513134,7597,0.00,0,919,,
1945,1622513134,7617,0.00,0,919,,
1946,1622513134,7638,0.00,0,919,,
1947,1622513134,7658,0.00,0,919,,
1948,1622513134,7678,0.00,0,919,,
1949,1622513134,7699,0.00,0,919,,
1950,1622513134,7719,0.00,0,919,,
1951,1622513134,7739,0.00,0,919,,
1952,1622513134,7760,0.00,0,919,38.10,39
1953,1622513134,7782,0.00,0,919,,
1954,1622513134,7802,0.00,0,919,,
1955,1622513134,7822,0.00,0,919,,
1956,1622513134,7843,0.00,0,919,,
1957,1622513134,7863,17676.97,5236,918,,
1958,1622513134,7883,15895.76,5340,919,,
1959,1622513134,7904,16092.10,5318,918,,
1960,1622513134,7924,0.00,0,919,,
1961,1622513134,7944,0.00,0,919,,
1962,1622513134,7965,16800.71,5219,918,,
1963,1622513134,7985,16152.55,5240,918,,
1964,1622513134,8005,0.00,0,918,,
1965,1622513134,8025,16063.17,5240,918,,
1966,1622513134,8046,16107.86,5240,918,,
1967,1622513134,8066,16241.93,5239,918,,
1968,1622513134,8086,16425.61,5239,918,37.60,38
1969,1622513134,8109,16840.49,5219,918,,
1970,1622513134,8129,18479.88,5150,918,,
1971,1622513134,8149,0.00,0,918,,
1972,1622513134,8170,0.00,0,918,,
1973,1622513134,8190,16859.87,5256,918,,
1974,1622513134,8210,16618.84,5276,918,,
1975,1622513134,8231,17488.65,5201,918,,
1976,1622513134,8251,16484.76,5277,918,,
1977,1622513134,8271,15702.53,5301,918,,
1978,1622513134,8291,15506.20,5323,918,,
1979,1622513134,8312,15434.38,5303,918,,
1980,1622513134,8332,15625.81,5282,918,,
1981,1622513134,8352,15898.87,5280,918,,
1982,1622513134,8373,16425.61,5239,918,,
1983,1622513134,8393,17282.76,5182,917,,
1984,1622513134,8413,16934.78,5219,918,36.50,38
1985,1622513134,8436,0.00,0,918,,
